Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/09 03:33,112064,804B86DA0,212818,804CADB00,3272.9,Rupee,3272.9,Rupee,Cheque,0
2022/09/08 07:48,70,1004286A8,1665,8033289C0,592.94,Euro,592.94,Euro,Cheque,1
2022/09/10 15:09,227786,80B79F620,11657,8033AD6C0,13184.17,Euro,13184.17,Euro,ACH,1
2022/09/08 19:42,70,1004288A0,6,80A728DD0,19220.45,Australian Dollar,19220.45,Australian Dollar,Credit Card,0
2022/09/05 19:45,137888,80DFCA010,19535,80B18E250,1316.39,US Dollar,1316.39,US Dollar,ACH,1
2022/09/08 03:13,795,80136F1F0,13037,805B207F0,2676.31,US Dollar,2676.31,US Dollar,Cheque,0
2022/09/08 11:09,70,1004286A8,222103,80BC266F0,10.68,Euro,10.68,Euro,Credit Card,0
2022/09/02 05:12,122463,808A8A980,22091,80B208610,53.04,UK Pound,53.04,UK Pound,Cheque,0
2022/09/05 07:52,142950,8100EE6C0,244187,8101CCD30,867.15,Shekel,867.15,Shekel,Cheque,0
2022/09/03 01:26,24515,80EBB2100,8354,80DF9F310,2393.18,US Dollar,2393.18,US Dollar,ACH,1
2022/09/11 13:59,10,801280800,22736,8091B5A10,3439.23,US Dollar,3439.23,US Dollar,ACH,1
2022/09/10 07:53,11,800924840,13145,80F959CD0,7731.45,US Dollar,7731.45,US Dollar,ACH,1
2022/09/06 08:09,217496,8065992B0,116843,806599300,336594.91,Ruble,336594.91,Ruble,ACH,1
2022/09/01 08:47,28248,80A5AD8A0,28248,80A5AD8A0,599895.8,Australian Dollar,599895.8,Australian Dollar,Reinvestment,0
2022/09/05 23:10,150240,812D22980,48309,811C599A0,34685.98,Saudi Riyal,34685.98,Saudi Riyal,ACH,1
2022/09/04 13:54,243614,8103561C0,244192,81067EC80,2472.59,Shekel,2472.59,Shekel,Credit Card,0
2022/09/01 23:45,239453,80E58A490,38478,80E856EB0,2173.07,Swiss Franc,2173.07,Swiss Franc,Cash,0
2022/09/06 13:36,18015,80B8AB270,26302,809DACA80,6523.53,Canadian Dollar,6523.53,Canadian Dollar,ACH,1
2022/09/10 08:51,12381,80D051180,19888,8079DDC30,11729.11,US Dollar,11729.11,US Dollar,ACH,1
2022/09/03 02:02,239604,80EB41570,139298,80EB417E0,1273.32,Swiss Franc,1273.32,Swiss Franc,ACH,1
2022/09/06 13:42,113685,80B8AD940,21831,812B563D0,1273.14,Euro,1273.14,Euro,Cash,0
2022/09/02 17:17,10,800279310,1,80033E240,1072.37,US Dollar,1072.37,US Dollar,Cheque,0
2022/09/05 18:57,20,8004EFB80,13862,80558A460,45.44,Euro,45.44,Euro,Cheque,0
